dataset,timed_masks,cov_masks,timed_iou_mean,timed_iou_median,timed_iou_failures,timed_iou_count,cov_iou_mean,cov_iou_median,cov_iou_failures,cov_iou_count,timed_sam_rte_mean_cm,timed_sam_rte_std_cm,timed_sam_rte_max_cm,cov_sam_rte_mean_cm,cov_sam_rte_std_cm,cov_sam_rte_max_cm
corridor1_512_16,15,31,0.3741742776191145,0.3457774261232863,6,14,0.41721187921385494,0.39812547117090585,6,30,5191.141640021465,6764.640102493069,88067.39326686709,1332.7717413847556,2090.291616554605,29233.814995697856
MH_01_easy,14,16,0.4065479819438493,0.3649838844347881,2,13,0.4208377134694399,0.3429387598839692,3,15,,,,4.2583491440010395,2.782819412589714,19.513034336053536
MH_05_difficult,11,17,0.5059297844795362,0.41097537281473484,1,10,0.6187975045231762,0.572715829832257,1,16,8.440958645374817,5.507263498314287,28.12590864309988,8.330068850435294,5.559676860744381,28.15399788662351
room1_512_16,5,5,0.68472830510689,0.6590551181641882,0,4,0.6208088561736115,0.5752023734477545,0,4,56.67066647511467,54.07121546348759,326.15062603956477,55.014453993093035,41.656535897362915,204.89359306967114
